id_product,nombre_prestashop,nombre_erp,referencia,ean13,codigo_match,unidad_erp,unidad_mariadb_inferida,factor_conversion_precio,inventario_erp_192_168_0_231,inventario_para_mariadb,inventario_mariadb,pendiente,final_sync,precio_mariadb,precio_erp,precio_para_mariadb,otras_listas_precios_erp,servidor_sync,accion
1,"Tamarindo X500 gr","TAMARINDO KILO","176","176","176","KG","500 G",0.500000,29.15,58,28,0,58,5450.00,10900.00,5450.00,"Lista 1: 10900.00000000",192.168.0.231,ACTUALIZAR_STOCK
5,"Sandia X6000 Gramos","SANDIA KILO","16613","16613","16613","KG","6000 G",6.000000,311.54,51,518,0,51,16800.00,2800.00,16800.00,"Lista 1: 2800.00000000",192.168.0.231,ACTUALIZAR_STOCK
6,"Nopal X500 gr","NOPAL KILO","19530","19530","19530","KG","500 G",0.500000,100.91,201,101,0,201,2950.00,5900.00,2950.00,"Lista 1: 5900.00000000",192.168.0.231,ACTUALIZAR_STOCK
8,"Fresa En Paquete","FRESA PAQUETE","12653","12653","12653","PAQ","PAQ",1.000000,113,113,110,0,113,4300.00,4300.00,4300.00,"Lista 1: 4300.00000000",192.168.0.231,ACTUALIZAR_STOCK
9,"Higo X500 gr","HIGO KILO","74","74","74","KG","500 G",0.500000,18.51,37,18,0,37,6250.00,12500.00,6250.00,"Lista 1: 12500.00000000",192.168.0.231,ACTUALIZAR_STOCK
10,"Mute Pelado Paquete X500gr","","18081","18081","18081","","",1.000000,SIN_MATCH,SIN_MATCH,6,0,SIN_MATCH,2000.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
12,"Piña Golden Sin Rama X1500gr","PIÑA GOLDEN SIN RAMA KILO","36","36","36","KG","1500 G",1.500000,18.17,12,18,0,12,7500.00,5000.00,7500.00,"Lista 1: 5000.00000000",192.168.0.231,ACTUALIZAR_STOCK
13,"Papayuela X500 gr","PAPAYUELA KILO","80","80","80","KG","500 G",0.500000,155.36,310,157,0,310,3000.00,6000.00,3000.00,"Lista 1: 6000.00000000",192.168.0.231,ACTUALIZAR_STOCK
14,"Freijoa X500 gr","FREIJOA KILO","70","70","70","KG","500 G",0.500000,207.62,415,202,0,415,4150.00,8300.00,4150.00,"Lista 1: 8300.00000000",192.168.0.231,ACTUALIZAR_STOCK
15,"Coco Unidad","COCO UNIDAD","66","66","66","UND","UND",1.000000,189,189,196,0,189,6950.00,6950.00,6950.00,"Lista 1: 6950.00000000",192.168.0.231,ACTUALIZAR_STOCK
16,"Agras Paquete","AGRAZ PAQUETE","4","4","4","PAQ","PAQ",1.000000,78,78,79,0,78,7800.00,7800.00,7800.00,"Lista 1: 7800.00000000",192.168.0.231,ACTUALIZAR_STOCK
17,"Curuba X500 gr","CURUBA KILO","167","167","167","KG","500 G",0.500000,203.76,407,204,0,407,3000.00,6000.00,3000.00,"Lista 1: 6000.00000000",192.168.0.231,ACTUALIZAR_STOCK
18,"Patilla Baby X2500 gr","PATILLA BABY KILO","17761","17761","17761","KG","2500 G",2.500000,728.81,291,869,0,291,9250.00,3700.00,9250.00,"Lista 1: 3700.00000000",192.168.0.231,ACTUALIZAR_STOCK
19,"Zapote X500 gr","ZAPOTE KILO","17895","17895","17895","KG","500 G",0.500000,93.79,187,93,0,187,3800.00,7600.00,3800.00,"Lista 1: 7600.00000000",192.168.0.231,ACTUALIZAR_STOCK
20,"Naranja Valencia X500 gr","NARANJA VALENCIA KILO","94","94","94","KG","500 G",0.500000,225.94,451,224,0,451,1800.00,3600.00,1800.00,"Lista 1: 3600.00000000",192.168.0.231,ACTUALIZAR_STOCK
21,"Manzana Nacional X500 gr","MANZANA NACIONAL KILO","62","62","62","KG","500 G",0.500000,263.87,527,263,0,527,5150.00,10300.00,5150.00,"Lista 1: 10300.00000000",192.168.0.231,ACTUALIZAR_STOCK
22,"Kiwi Bandeja","","111","0000111","111","","",1.000000,SIN_MATCH,SIN_MATCH,104,0,SIN_MATCH,9700.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
23,"Uchuva en Canastilla","UCHUVA CANASTILLA","69","69","69","PAQ","PAQ",1.000000,71,71,70,0,71,2600.00,2600.00,2600.00,"Lista 1: 2600.00000000",192.168.0.231,ACTUALIZAR_STOCK
25,"Banano Bocadillo X500 gr","BANANO BOCADILLO KILO","82","82","82","KG","500 G",0.500000,488.55,977,480,0,977,2200.00,4400.00,2200.00,"Lista 1: 4400.00000000",192.168.0.231,ACTUALIZAR_STOCK
26,"Jengibre en Bandeja","JENGIBRE BANDEJA","175","175","175","BAN","BAN",1.000000,95,95,163,0,95,2900.00,2900.00,2900.00,"Lista 1: 2900.00000000",192.168.0.231,ACTUALIZAR_STOCK
28,"Ciruela Bandeja","","127","0000127","127","","",1.000000,SIN_MATCH,SIN_MATCH,541,0,SIN_MATCH,2600.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
29,"Aguacate Haz Bandeja","AGUACATE HASS BANDEJA","18420","18420","18420","BAN","BAN",1.000000,282,282,382,0,282,3600.00,3600.00,3600.00,"Lista 1: 3600.00000000",192.168.0.231,ACTUALIZAR_STOCK
32,"Uva de Castilla XL X500 gr","UVA DE CASTILLA XL BANDEJA KILO","68","68","68","KG","500 G",0.500000,21.93,43,23,0,43,11500.00,23000.00,11500.00,"Lista 1: 23000.00000000",192.168.0.231,ACTUALIZAR_STOCK
33,"Arándano Bandeja X125 gr","ARANDANOS ESTUCHE 125G","137","137","137","BAN","BAN",1.000000,8,8,9,0,8,8300.00,8300.00,8300.00,"Lista 1: 8300.00000000",192.168.0.231,ACTUALIZAR_STOCK
34,"Uva Isabella Extra Bandeja","UVA ISABELLA BANDEJA","71","71","71","BAN","BAN",1.000000,294,294,299,0,294,2750.00,2750.00,2750.00,"Lista 1: 2750.00000000",192.168.0.231,ACTUALIZAR_STOCK
36,"Pera Chilena Unidad","PERA CHILE UNIDAD","89","89","89","UND","UND",1.000000,106,106,110,0,106,1900.00,1900.00,1900.00,"Lista 1: 1900.00000000",192.168.0.231,ACTUALIZAR_STOCK
37,"Kiwi X500 gr","KIWI KILO","76","76","76","KG","500 G",0.500000,26.66,53,35,0,53,10500.00,21000.00,10500.00,"Lista 1: 21000.00000000",192.168.0.231,ACTUALIZAR_STOCK
38,"Pitaya X500 gr","","100","0000100","100","","",1.000000,SIN_MATCH,SIN_MATCH,255,0,SIN_MATCH,4900.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
39,"Guanabana X4000 gr","GUANABANA KILO","73","73","73","KG","4000 G",4.000000,400.75,100,412,0,100,13600.00,3400.00,13600.00,"Lista 1: 3400.00000000",192.168.0.231,ACTUALIZAR_STOCK
40,"Aguacate Hass X500 gr","AGUCATE HASS","81","81","81","KG","500 G",0.500000,929.29,1858,1046,0,1858,5000.00,10000.00,5000.00,"Lista 1: 10000.00000000",192.168.0.231,ACTUALIZAR_STOCK
41,"Fresas en Bandeja","FRESA BANDEJA","158","158","158","BAN","BAN",1.000000,335,335,331,0,335,6900.00,6900.00,6900.00,"Lista 1: 6900.00000000",192.168.0.231,ACTUALIZAR_STOCK
42,"Durazno Nacional X500 gr","DURAZNO NACIONAL KILO","16","16","16","KG","500 G",0.500000,1054.12,2108,1054,0,2108,3950.00,7900.00,3950.00,"Lista 1: 7900.00000000",192.168.0.231,ACTUALIZAR_STOCK
43,"Aguacate Papelillo X500 gr","AGUCATE KILO","142","142","142","KG","500 G",0.500000,376.49,752,375,0,752,7500.00,15000.00,7500.00,"Lista 1: 15000.00000000",192.168.0.231,ACTUALIZAR_STOCK
44,"Guayaba Pera X500 gr","GUAYABA PERA KILO","173","173","173","KG","500 G",0.500000,674.63,1349,676,0,1349,4900.00,9800.00,4900.00,"Lista 1: 9800.00000000",192.168.0.231,ACTUALIZAR_STOCK
45,"Granadilla X500 gr","GRANADILLA KILO","172","172","172","KG","500 G",0.500000,226.32,452,224,0,452,7950.00,15900.00,7950.00,"Lista 1: 15900.00000000",192.168.0.231,ACTUALIZAR_STOCK
46,"Manzana Royal Bolsa","MANZANA PAQUETE","164","164","164","PAQ","PAQ",1.000000,316,316,314,0,316,8900.00,8900.00,8900.00,"Lista 1: 8900.00000000",192.168.0.231,ACTUALIZAR_STOCK
47,"Banano Criollo X500gr","BANANO KILO","161","161","161","KG","500 G",0.500000,0,0,-65,0,0,1750.00,3500.00,1750.00,"Lista 1: 3500.00000000",192.168.0.231,ACTUALIZAR_STOCK
48,"Tomate de Árbol X500 gr","","112","0000112","112","","",1.000000,SIN_MATCH,SIN_MATCH,942,0,SIN_MATCH,3650.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
49,"Naranja Tangelo X500gr","NARANJA TANGELO KILO","95","95","95","KG","500 G",0.500000,504.52,1009,523,0,1009,3500.00,7000.00,3500.00,"Lista 1: 7000.00000000",192.168.0.231,ACTUALIZAR_STOCK
50,"Mora X500 gr","MORA KILO","92","92","92","KG","500 G",0.500000,124.18,248,164,0,248,4600.00,9200.00,4600.00,"Lista 1: 9200.00000000",192.168.0.231,ACTUALIZAR_STOCK
51,"Melón Cantaloupe X2000 gr","MELON CATALUPE KILO","91","91","91","KG","2000 G",2.000000,1383.56,691,1383,0,691,6000.00,3000.00,6000.00,"Lista 1: 3000.00000000",192.168.0.231,ACTUALIZAR_STOCK
52,"Maracuyá X500gr","MARACUYA KILO","90","90","90","KG","500 G",0.500000,471.68,943,478,0,943,3650.00,7300.00,3650.00,"Lista 1: 7300.00000000",192.168.0.231,ACTUALIZAR_STOCK
53,"Mango De Azúcar X500gr","MANGO COMUN AZUCAR KILO","84","84","84","KG","500 G",0.500000,1073.73,2147,1141,0,2147,4900.00,9800.00,4900.00,"Lista 1: 9800.00000000",192.168.0.231,ACTUALIZAR_STOCK
54,"Mango Tommy X500gr","MANGO TOMY KILO","83","83","83","KG","500 G",0.500000,1624.50,3249,1786,0,3249,5300.00,10600.00,5300.00,"Lista 1: 10600.00000000",192.168.0.231,ACTUALIZAR_STOCK
55,"Papaya Maraol X2000gr","PAPAYA MARADOL KILO","63","63","63","KG","2000 G",2.000000,2234.68,1117,2515,0,1117,5000.00,2500.00,5000.00,"Lista 1: 2500.00000000",192.168.0.231,ACTUALIZAR_STOCK
56,"Manzana Verde Bandeja X6 Unidades","MANZANA BANDEJA VERDE 6UND","43","43","43","BAN","BAN",1.000000,122,122,130,0,122,8900.00,8900.00,8900.00,"Lista 1: 8900.00000000",192.168.0.231,ACTUALIZAR_STOCK
57,"Naranja Sweet en Malla","NARANJA PAQUETE","33","33","33","PAQ","PAQ",1.000000,185,185,179,0,185,6300.00,6300.00,6300.00,"Lista 1: 6300.00000000",192.168.0.231,ACTUALIZAR_STOCK
58,"Mandarina Arrayana X500gr","MANDARINA ARRAYANA KILO","32","32","32","KG","500 G",0.500000,868.68,1737,981,0,1737,3000.00,6000.00,3000.00,"Lista 1: 6000.00000000",192.168.0.231,ACTUALIZAR_STOCK
59,"Piña Golden Con Rama X1500gr","PIÑA GOLDE CON RAMA KILO","25","25","25","KG","1500 G",1.500000,927.99,618,1106,0,618,6450.00,4300.00,6450.00,"Lista 1: 4300.00000000",192.168.0.231,ACTUALIZAR_STOCK
60,"Limón Común X500gr","LIMON COMUN KILO","21","21","21","KG","500 G",0.500000,667.90,1335,685,0,1335,2650.00,5300.00,2650.00,"Lista 1: 5300.00000000",192.168.0.231,ACTUALIZAR_STOCK
61,"Lulo X500gr","LULO KILO","20","20","20","KG","500 G",0.500000,914.85,1829,990,0,1829,4150.00,8300.00,4150.00,"Lista 1: 8300.00000000",192.168.0.231,ACTUALIZAR_STOCK
63,"Lechuga Asiática Bandeja","LECHUGA ASIATICA BANDEJA","19541","701575344819","701575344819","BAN","BAN",1.000000,62,62,64,0,62,4900.00,4900.00,4900.00,"Lista 1: 4900.00000000",192.168.0.231,ACTUALIZAR_STOCK
64,"Cúrcuma Bandeja X200 gr","","18232","18232","18232","","",1.000000,SIN_MATCH,SIN_MATCH,51,0,SIN_MATCH,3000.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
65,"Rúgula En Bandeja","","11740","11740","11740","","",1.000000,SIN_MATCH,SIN_MATCH,60,0,SIN_MATCH,4900.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
66,"Albahaca El Moral Paquete","","16910","16910","16910","","",1.000000,SIN_MATCH,SIN_MATCH,259,0,SIN_MATCH,2500.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
67,"Guascas Paquete","GUASCA PAQUETE","29","29","29","PAQ","PAQ",1.000000,762,762,755,0,762,1400.00,1400.00,1400.00,"Lista 1: 1400.00000000",192.168.0.231,ACTUALIZAR_STOCK
68,"Sábila Cristal Moral X250 gr","SABILA MORAL CRISTAL 250G","21164","21164","21164","PAQ","PAQ",1.000000,0,0,-1,0,0,2500.00,2500.00,2500.00,"Lista 1: 2500.00000000",192.168.0.231,ACTUALIZAR_STOCK
69,"Caléndula Paquete","CALENDULA PAQUETE","132","132","132","PAQ","PAQ",1.000000,92,92,95,0,92,1150.00,1150.00,1150.00,"Lista 1: 1150.00000000",192.168.0.231,ACTUALIZAR_STOCK
70,"Perejil Paquete","PEREJIL PAQUETE","146","146","146","PAQ","PAQ",1.000000,523,523,542,0,523,1500.00,1500.00,1500.00,"Lista 1: 1500.00000000",192.168.0.231,ACTUALIZAR_STOCK
71,"Espinaca Paquete","ESPINACA PAQUETE","140","140","140","PAQ","PAQ",1.000000,375,375,511,0,375,1300.00,1300.00,1300.00,"Lista 1: 1300.00000000",192.168.0.231,ACTUALIZAR_STOCK
72,"Acelga Paquete","ACELGA PAQUETE","138","138","138","PAQ","PAQ",1.000000,722,722,734,0,722,1300.00,1300.00,1300.00,"Lista 1: 1300.00000000",192.168.0.231,ACTUALIZAR_STOCK
73,"Aromáticas Paquete","AROMATICAS PAQUETE","134","134","134","PAQ","PAQ",1.000000,410,410,477,0,410,800.00,800.00,800.00,"Lista 1: 800.00000000",192.168.0.231,ACTUALIZAR_STOCK
74,"Tomillo y Laurel Paquete","TOMILLO Y LAUREL PAQUETE","133","133","133","PAQ","PAQ",1.000000,35,35,30,0,35,900.00,900.00,900.00,"Lista 1: 900.00000000",192.168.0.231,ACTUALIZAR_STOCK
75,"Apio Mata Unidad","","114","0000114","114","","",1.000000,SIN_MATCH,SIN_MATCH,462,0,SIN_MATCH,1750.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
76,"Penca de Sábila X500 gr","PENCA DE SABILA KILO","85","85","85","KG","500 G",0.500000,216.11,432,218,0,432,1950.00,3900.00,1950.00,"Lista 1: 3900.00000000",192.168.0.231,ACTUALIZAR_STOCK
77,"Cilantro Paquete","","1","00001","1","","",1.000000,SIN_MATCH,SIN_MATCH,1597,0,SIN_MATCH,1400.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
80,"Champiñón Entero Bandeja X500 gr","CHAMPIÑON ENTERO BANDEJA 500G","11214","11214","11214","BAN","BAN",1.000000,103,103,109,0,103,16250.00,16250.00,16250.00,"Lista 1: 16250.00000000",192.168.0.231,ACTUALIZAR_STOCK
83,"Papa Sabanera Granel 500 gr","PAPA SABANERA KILO","17125","17125","17125","KG","500 G",0.500000,549.88,1099,590,0,1099,3000.00,6000.00,3000.00,"Lista 1: 6000.00000000",192.168.0.231,ACTUALIZAR_STOCK
84,"Frijol En Vaina X500 gr","FRIJOL EN VAINA KILO","28","28","28","KG","500 G",0.500000,360.32,720,358,0,720,4450.00,8900.00,4450.00,"Lista 1: 8900.00000000",192.168.0.231,ACTUALIZAR_STOCK
85,"Repollo Morado X2000 gr","REPOLLO MORADO KILO","61","61","61","KG","2000 G",2.000000,136.41,68,134,0,68,8400.00,4200.00,8400.00,"Lista 1: 4200.00000000",192.168.0.231,ACTUALIZAR_STOCK
86,"Repollo Blanco X2000 gr","REPOLLO MORADO KILO","51","61","61","KG","2000 G",2.000000,136.41,68,273,0,68,5600.00,4200.00,8400.00,"Lista 1: 4200.00000000",192.168.0.231,ACTUALIZAR_STOCK_PRECIO
88,"Batata X500 gr","","108","0000108","108","","",1.000000,SIN_MATCH,SIN_MATCH,59,0,SIN_MATCH,5650.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
89,"Yacón X500 gr","YACON KILO","170","170","170","KG","500 G",0.500000,74.31,148,72,0,148,5500.00,11000.00,5500.00,"Lista 1: 11000.00000000",192.168.0.231,ACTUALIZAR_STOCK
90,"Rábano X500 gr","RABANO KILO","22","22","22","KG","500 G",0.500000,17.90,35,17,0,35,3650.00,7300.00,3650.00,"Lista 1: 7300.00000000",192.168.0.231,ACTUALIZAR_STOCK
91,"Ñame X500 gr","","109","0000109","109","","",1.000000,SIN_MATCH,SIN_MATCH,34,0,SIN_MATCH,3150.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
93,"Espárragos X500 gr","ESPARRAGO KILO","22234","22234","22234","KG","500 G",0.500000,9.96,19,9,0,19,20500.00,41000.00,20500.00,"Lista 1: 41000.00000000",192.168.0.231,ACTUALIZAR_STOCK
94,"Col De Bruselas En Bandeja X250g","COLL DE BRUSELAS 250G","19598","701575344918","701575344918","BAN","BAN",1.000000,0,0,-4,0,0,5000.00,5000.00,5000.00,"Lista 1: 5000.00000000",192.168.0.231,ACTUALIZAR_STOCK
95,"Borojó X500 gr","BOROJO KILO","53","53","53","KG","500 G",0.500000,65.75,131,67,0,131,5150.00,10300.00,5150.00,"Lista 1: 10300.00000000",192.168.0.231,ACTUALIZAR_STOCK
96,"Balú x500gr","BALU KILO","19588","19588","19588","KG","500 G",0.500000,145.90,291,145,0,291,1850.00,3700.00,1850.00,"Lista 1: 3700.00000000",192.168.0.231,ACTUALIZAR_STOCK
97,"Champiñón Entero Bandeja Dayaco x250 gr","","18168","7709990496727","18168","","",1.000000,SIN_MATCH,SIN_MATCH,112,0,SIN_MATCH,9000.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
98,"Ajo En Diente Paquete","","13101","614143268380","13101","","",1.000000,SIN_MATCH,SIN_MATCH,-1,0,SIN_MATCH,2900.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
99,"Cebolla Puerro 500 gr","","17760","000017760","17760","","",1.000000,SIN_MATCH,SIN_MATCH,115,0,SIN_MATCH,2150.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
100,"Raíz China En Bandeja","","27","000027","27","","",1.000000,SIN_MATCH,SIN_MATCH,57,0,SIN_MATCH,1900.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
